"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"adolescentis",0.486812676032672,-1.24297174123688,0.395144852344316,0.652859851191181,1.23198536725079,-1.90388754794617,0.343143167947687,0.19723538287943,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"longum",0.0205620424102528,-0.209487017834995,0.445684308649352,0.876443845058976,0.046135890385206,-0.239019326812545,0.966101298938295,0.826488774167978,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"aerofaciens",-0.324588773193735,0.32031051766427,0.664057721829952,0.853645904735573,-0.488796022579576,0.37522644446293,0.658489802955393,0.732450279814782,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ventriosum",-0.627596137394459,1.07782892816608,0.312412258326558,0.815561049026892,-2.0088716773029,1.32157970203716,0.138134171483496,0.278053955049685,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"welbionis",0.116735555664555,-0.522112261621467,0.20681723214862,0.639724998660791,0.564438245555226,-0.81615110041731,0.611903861159343,0.474191423958847,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"duncaniae",-0.716537582475231,0.866676301944844,0.192715197414732,0.880163586227021,-3.71811664096844,0.984676389147167,0.0338511280011093,0.397387150790969,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"prausnitzii",-0.159695393439355,0.0660141029396145,1.36848627472119,1.59307662057249,-0.11669491787332,0.041438121736977,0.912726226742864,0.968932521522959,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. I2-3-92",0.30315475418075,-1.20873540104374,0.395776570627442,0.673235509325237,0.765974483280164,-1.79541242893622,0.523744667573827,0.214433080100356,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. i21-0019-B1",-0.282525192058354,-0.0373755085655294,0.536958342895232,0.78948873657781,-0.526158492174651,-0.0473414082226691,0.651301511480714,0.966543309824316,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. I3-3-89",0.288404643200895,-1.21217302332231,1.19936352853073,1.41447233283457,0.240464743457892,-0.856978956168866,0.82546581375841,0.454458709272685,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. I4-3-84",0.151987706162866,-0.580865845785319,0.42837470126579,0.803355560989425,0.35480084541352,-0.723049511314661,0.746215199973232,0.521922986535403,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. IP-3-29",-0.500630250654494,0.506830748910281,0.241493741632656,0.949154281000129,-2.07305683066528,0.533981418043261,0.129861746078623,0.630388471170787,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"taiwanense",0.810107263920047,-1.67773177538062,0.705682542849472,0.938347986990366,1.14797690849616,-1.78796331280225,0.334218835103614,0.171739370027222,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"plautii",0.0270725914814314,-0.307521866901958,0.887020628634055,1.14611524556115,0.0305208138429894,-0.268316705578235,0.977113830836604,0.801724814215302,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"butyriciproducens",-0.544100252837783,0.579280752549095,0.185630501188268,0.994596854944409,-2.93109294730584,0.582427693863433,0.0609468206649388,0.601163349925179,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"asaccharolyticus",-0.219688319002504,0.185999954065912,0.828997797918516,1.54734718878144,-0.265004707556651,0.120205701354193,0.804101761527873,0.910116089441221,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"_Bacillota_Clostridia_Eubacteriales_Oscillospiraceae_Oscillibacter_hominis",0.0557498536778558,-0.71392560003795,0.275971906436312,0.705823831304265,0.202012786003352,-1.01147845733505,0.858590801708949,0.418256961797422,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. PEA192",-0.307715636719045,0.362054589498994,0.539100147008835,0.942147755699821,-0.570794941211547,0.384286421432976,0.598675793778351,0.720321700814677,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"komagatae",0.0500122311890008,-0.70245035506024,0.21844107704655,0.543940322092766,0.228950671115503,-1.29141070542007,0.840188153255497,0.325681591074489,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"_Bacillota_Clostridia_Eubacteriales_Oscillospiraceae_Pusillibacter_faecalis",-0.236501964807163,0.0666169391647298,0.43849751323815,0.677644942694945,-0.539346193917222,0.0983065540189809,0.627105420835655,0.92788909035008,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"bicirculans (ex Wegman et al. 2014)",-2.06186239712901,3.1088843263678,0.479972938984133,0.892350862601948,-4.29578884487313,3.48392594960105,0.023200694372246,0.0399417065281592,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"lactatiformans",-0.425353315670499,0.597329947401902,0.641827138172453,1.04169436428682,-0.662722546886465,0.573421502391304,0.543746194522896,0.597057511710269,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"coprocola",-0.480395011551251,0.473105350404876,0.33515744699948,0.811208551413761,-1.43334130228052,0.583210506817705,0.247207998180361,0.600699004917041,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"fastidiosa",0.163752961166649,-0.929931815015537,0.148920806217263,0.613377112359902,1.09959760040345,-1.51608496025834,0.386179835713238,0.268752512987502,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"rectalis",0.535342760527218,-1.32406220499353,1.08999549418834,1.35717866283288,0.491142177542541,-0.975599043260654,0.649053861479932,0.38450512482614,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
